,NeckDissection,AlcoholHistory,Tracheostomy,OperationDurationMin,PreopConcurrentCRT,Pathogen,IntraopTransfusion,AnastomoticFistula,UnplannedReoperation,MultiDrugResistance,PreopHGB,LesionSite,PreopChemotherapy,SmokingHistory,Endoscopy,PeripheralVascularDisease,Hyperlipidemia,PreopRadiotherapy,IncisionInfection,DaysToFistulaConfirmation,PreopALB,Diabetes
NeckDissection,1.0,0.16183332257336105,0.1498072059323884,0.3600414450946608,0.06914172716775739,0.06140143907241735,0.05735525832120182,0.03741510718000711,0.08499043015524026,0.01966252399183393,-0.0800591340219485,0.06141239722996979,0.18140404176967118,0.15624122906700924,-0.010812652508367299,0.01843252868307894,-0.01741241526454177,0.03388119267257679,0.04781014991379066,0.037829857163271245,-0.08091612496354113,0.07589060350181072
AlcoholHistory,0.16183332257336105,1.0,0.07916664490965963,0.13373796381147066,0.028397982423487355,0.029263326824444734,-0.003024450474831251,0.0904028947446732,0.01702863791499339,0.05122965195298533,0.09882031838574934,-0.08578551780041349,0.11204986084428602,0.621708826129768,0.07128385461301254,0.015331128544919834,0.0074065022200455145,0.02811041070688169,0.06441783893165379,0.09081411717568172,-0.012108824459971445,0.08437986709234849
Tracheostomy,0.1498072059323884,0.07916664490965963,1.0,0.07909182649482711,0.03182731594237581,0.08090686813587362,0.007232979917370269,0.03147005649100632,0.09674998335704105,-0.03324593633980265,-0.02053013945998975,-0.03686977142599675,0.05523677566565783,0.08466932544712567,0.0926274711879689,0.050179518933230235,-0.008765149962260152,0.05315430604284261,0.152999981881156,0.031913799887811976,-0.06157147975858392,0.022954681577980626
OperationDurationMin,0.3600414450946608,0.13373796381147066,0.07909182649482711,1.0,0.08094773547961406,0.029433794369986895,0.11741681870279438,0.06986853570590941,0.07822908234413883,0.07103945142719005,-0.023976246431842582,0.03284673497867719,0.14749427681212093,0.13121555543871147,0.00831407196650775,0.016281258649035516,-0.043533607659539925,0.0510819353210766,0.06977598177948231,0.06974035214955863,-0.10141968269113737,0.01770066885785952
PreopConcurrentCRT,0.06914172716775739,0.028397982423487355,0.03182731594237581,0.08094773547961406,1.0,0.058228663798701466,0.11739245409841827,0.07738643518398301,0.008564939084467225,0.0937292294398203,-0.08992884571764208,0.05667723632210515,0.3165526165636408,0.013165434337443627,0.04290343145112527,0.05688646760047602,0.02658031149831088,0.3181761618085796,0.037379267014781704,0.0776053961404322,-0.046216816421061534,-0.007147608921363341
Pathogen,0.06140143907241735,0.029263326824444734,0.08090686813587362,0.029433794369986895,0.058228663798701466,1.0,0.013316987277512675,0.5220985334580543,0.11968651470964847,-0.010248592301537865,-0.00995163235119141,0.011520672174926999,0.024003046921375327,0.04561603537257543,-0.006948781598932095,-0.01454737112986022,0.022873504668962083,0.03592187128825692,0.590186673019333,0.5227506116368387,-0.00038504622076469786,0.031636323190894294
IntraopTransfusion,0.05735525832120182,-0.003024450474831251,0.007232979917370269,0.11741681870279438,0.11739245409841827,0.013316987277512675,1.0,0.0407630437458777,0.01788883136121973,0.030798777819088127,-0.1118149711788728,-0.016278190760405695,0.0865897093293946,-0.023124485204760587,0.18490462790887888,0.04371734557273301,0.010664749817235444,0.02424906448481408,0.016700853729936533,0.040592104750052684,-0.09905786399915323,0.03875148329586461
AnastomoticFistula,0.03741510718000711,0.0904028947446732,0.03147005649100632,0.06986853570590941,0.07738643518398301,0.5220985334580543,0.0407630437458777,1.0,0.15343356794325405,0.25427476246525066,-0.038897573614044084,0.026513797253552327,0.04847388850722711,0.06582017116937304,-0.00736043967672876,-0.01540918305344022,0.020285714285714285,0.029751203514689028,0.3536340638984122,0.9999591746955067,-0.04199009203018639,0.06786035499357486
UnplannedReoperation,0.08499043015524026,0.01702863791499339,0.09674998335704105,0.07822908234413883,0.008564939084467225,0.11968651470964847,0.01788883136121973,0.15343356794325405,1.0,-0.009382597538822125,0.027254424053545126,0.014988202377081586,-0.0015745195186733724,-0.01340718319283977,-0.006361617206508394,-0.013318134290391963,-0.013828776509907019,0.006447443448738673,0.22323146151324497,0.15526165861700736,0.011751179936570969,0.0913215782611377
MultiDrugResistance,0.01966252399183393,0.05122965195298533,-0.03324593633980265,0.07103945142719005,0.0937292294398203,-0.010248592301537865,0.030798777819088127,0.25427476246525066,-0.009382597538822125,1.0,-0.00514590367365305,-0.0050727116737796,0.015563862869717192,0.03475331951117837,-0.00499393732670775,-0.010454877399232761,0.09519646279487216,0.0236759465252685,-0.009606128811254578,0.2534591812566136,-0.06524033466344632,0.051960506995345844
PreopHGB,-0.0800591340219485,0.09882031838574934,-0.02053013945998975,-0.023976246431842582,-0.08992884571764208,-0.00995163235119141,-0.1118149711788728,-0.038897573614044084,0.027254424053545126,-0.00514590367365305,1.0,-0.08904831570081718,-0.1995663782543165,0.13489259913217536,-0.010904707509630771,-0.018110238593707566,-0.0035169357607356825,-0.0810597169633392,-0.012264272611554767,-0.03869299463576771,0.2670754223518512,-0.041755959999464916
LesionSite,0.06141239722996979,-0.08578551780041349,-0.03686977142599675,0.03284673497867719,0.05667723632210515,0.011520672174926999,-0.016278190760405695,0.026513797253552327,0.014988202377081586,-0.0050727116737796,-0.08904831570081718,1.0,0.09829861324989994,-0.1594318808232754,0.026882710703572094,0.027839645444268403,0.017578208123902095,0.06716557060729487,0.03322493936212104,0.026625688507237084,0.0017862049801638542,0.03711893692097316
PreopChemotherapy,0.18140404176967118,0.11204986084428602,0.05523677566565783,0.14749427681212093,0.3165526165636408,0.024003046921375327,0.0865897093293946,0.04847388850722711,-0.0015745195186733724,0.015563862869717192,-0.1995663782543165,0.09829861324989994,1.0,0.0762534454212593,0.04543668790039206,0.03774146487815556,0.033385202623850044,0.3334463008916158,0.013762793597737992,0.048633143138646244,-0.11939403339630715,0.02765479469270615
SmokingHistory,0.15624122906700924,0.621708826129768,0.08466932544712567,0.13121555543871147,0.013165434337443627,0.04561603537257543,-0.023124485204760587,0.06582017116937304,-0.01340718319283977,0.03475331951117837,0.13489259913217536,-0.1594318808232754,0.0762534454212593,1.0,0.039979306833710336,0.0118397710945429,0.011598581514170602,-0.03361213257032788,0.07350998740697548,0.0661478420688475,-0.057129355090079506,0.017881410523075833
Endoscopy,-0.010812652508367299,0.07128385461301254,0.0926274711879689,0.00831407196650775,0.04290343145112527,-0.006948781598932095,0.18490462790887888,-0.00736043967672876,-0.006361617206508394,-0.00499393732670775,-0.010904707509630771,0.026882710703572094,0.04543668790039206,0.039979306833710336,1.0,-0.007088647645782364,-0.00736043967672876,0.05470511191866358,0.08121733797591225,-0.007360139184537753,-0.003410756289021149,-0.020948671478578915
PeripheralVascularDisease,0.01843252868307894,0.015331128544919834,0.050179518933230235,0.016281258649035516,0.05688646760047602,-0.01454737112986022,0.04371734557273301,-0.01540918305344022,-0.013318134290391963,-0.010454877399232761,-0.018110238593707566,0.027839645444268403,0.03774146487815556,0.0118397710945429,-0.007088647645782364,1.0,0.05985874955374854,-0.0010727661570792142,-0.0136354259030866,-0.015408553968850068,-0.0426602132861672,0.00024805619753465755
Hyperlipidemia,-0.01741241526454177,0.0074065022200455145,-0.008765149962260152,-0.043533607659539925,0.02658031149831088,0.022873504668962083,0.010664749817235444,0.020285714285714285,-0.013828776509907019,0.09519646279487216,-0.0035169357607356825,0.017578208123902095,0.033385202623850044,0.011598581514170602,-0.00736043967672876,0.05985874955374854,1.0,0.029751203514689028,0.026707577164302287,0.02069303271716824,-0.006258244509687144,0.12455946738952227
PreopRadiotherapy,0.03388119267257679,0.02811041070688169,0.05315430604284261,0.0510819353210766,0.3181761618085796,0.03592187128825692,0.02424906448481408,0.029751203514689028,0.006447443448738673,0.0236759465252685,-0.0810597169633392,0.06716557060729487,0.3334463008916158,-0.03361213257032788,0.05470511191866358,-0.0010727661570792142,0.029751203514689028,1.0,0.02363669210408762,0.02999445784818626,-0.060398932067098086,-0.059939840787399515
IncisionInfection,0.04781014991379066,0.06441783893165379,0.152999981881156,0.06977598177948231,0.037379267014781704,0.590186673019333,0.016700853729936533,0.3536340638984122,0.22323146151324497,-0.009606128811254578,-0.012264272611554767,0.03322493936212104,0.013762793597737992,0.07350998740697548,0.08121733797591225,-0.0136354259030866,0.026707577164302287,0.02363669210408762,1.0,0.356308661927804,-0.017367666536013664,0.05548779042712077
DaysToFistulaConfirmation,0.037829857163271245,0.09081411717568172,0.031913799887811976,0.06974035214955863,0.0776053961404322,0.5227506116368387,0.040592104750052684,0.9999591746955067,0.15526165861700736,0.2534591812566136,-0.03869299463576771,0.026625688507237084,0.048633143138646244,0.0661478420688475,-0.007360139184537753,-0.015408553968850068,0.02069303271716824,0.02999445784818626,0.356308661927804,1.0,-0.04235668914570581,0.06816849221000743
PreopALB,-0.08091612496354113,-0.012108824459971445,-0.06157147975858392,-0.10141968269113737,-0.046216816421061534,-0.00038504622076469786,-0.09905786399915323,-0.04199009203018639,0.011751179936570969,-0.06524033466344632,0.2670754223518512,0.0017862049801638542,-0.11939403339630715,-0.057129355090079506,-0.003410756289021149,-0.0426602132861672,-0.006258244509687144,-0.060398932067098086,-0.017367666536013664,-0.04235668914570581,1.0,-0.04480308655985573
Diabetes,0.07589060350181072,0.08437986709234849,0.022954681577980626,0.01770066885785952,-0.007147608921363341,0.031636323190894294,0.03875148329586461,0.06786035499357486,0.0913215782611377,0.051960506995345844,-0.041755959999464916,0.03711893692097316,0.02765479469270615,0.017881410523075833,-0.020948671478578915,0.00024805619753465755,0.12455946738952227,-0.059939840787399515,0.05548779042712077,0.06816849221000743,-0.04480308655985573,1.0
