,AlcoholHistory,PreopConcurrentCRT,PreopHGB,BMI,Age,ASA,Diabetes,CoronaryHeartDisease,PreopChemotherapy,PreopALB
AlcoholHistory,1.0,0.08413596820631196,0.10206434447089485,-0.013396827505360915,0.11964980147130105,0.02169601984665087,0.09846344209813761,0.044168938490310124,0.08733689341660364,-0.012160820653180448
PreopConcurrentCRT,0.08413596820631196,1.0,-0.06374375081509753,-0.055317955439776044,-0.05575882849884879,-0.006377492061550892,0.01765819059001176,0.014701485360034443,0.32603308776625683,-0.035150839435451914
PreopHGB,0.10206434447089485,-0.06374375081509753,1.0,0.21243123925982077,-0.04043288676341605,-0.03885079539257983,-0.03032867524682316,-0.028219672713501034,-0.18283258997803767,0.26016937046259253
BMI,-0.013396827505360915,-0.055317955439776044,0.21243123925982077,1.0,-0.011828104108479634,-0.000618979495522785,0.11160399374508972,-0.02684676057205714,-0.046161283586613075,0.1281144191899428
Age,0.11964980147130105,-0.05575882849884879,-0.04043288676341605,-0.011828104108479634,1.0,0.08827798103945728,0.09983881443295557,0.10328517179110892,0.006578303548822968,-0.25584813643811366
ASA,0.02169601984665087,-0.006377492061550892,-0.03885079539257983,-0.000618979495522785,0.08827798103945728,1.0,0.06203882506859035,0.008925908770051774,0.09664163599463309,-0.08509610025055574
Diabetes,0.09846344209813761,0.01765819059001176,-0.03032867524682316,0.11160399374508972,0.09983881443295557,0.06203882506859035,1.0,0.10277279071448923,0.017623827927313238,-0.042631355800494035
CoronaryHeartDisease,0.044168938490310124,0.014701485360034443,-0.028219672713501034,-0.02684676057205714,0.10328517179110892,0.008925908770051774,0.10277279071448923,1.0,0.04838390762915771,-0.04353779681148346
PreopChemotherapy,0.08733689341660364,0.32603308776625683,-0.18283258997803767,-0.046161283586613075,0.006578303548822968,0.09664163599463309,0.017623827927313238,0.04838390762915771,1.0,-0.11988900094691893
PreopALB,-0.012160820653180448,-0.035150839435451914,0.26016937046259253,0.1281144191899428,-0.25584813643811366,-0.08509610025055574,-0.042631355800494035,-0.04353779681148346,-0.11988900094691893,1.0
