feature,coefficient,odds_ratio,or_95ci_lower,or_95ci_upper,p_value,is_independent_predictor
PreopConcurrentCRT,1.0462200254600877,2.8468696592501486,1.5172781150412489,5.341582915099729,0.0005600991578756376,True
PreopHGB,-0.007264083498428691,0.9927622361880812,0.9861039790329047,0.9994654504565917,0.01718535859486271,True
AlcoholHistory,0.7598749059785653,2.138008751655184,1.0013186785570183,4.565061573345918,0.024801659563830156,True
BMI,-0.07342193826699885,0.9292086786002354,0.8283618222229401,1.0423328854883147,0.10517322481167518,False
Diabetes,0.5820637130924498,1.7897281075508906,0.6998379424917407,4.576954898377055,0.11218809716522793,False
Age,0.02219052717274954,1.0224385682437658,0.9852430558055942,1.0610383089455986,0.12026669457067246,False
ASA,0.22486792717108608,1.252157329309821,0.8322224508302043,1.8839890413677343,0.14032864653289107,False
CoronaryHeartDisease,-1.0707740118753382,0.34274312747361646,0.04257598229417122,2.759134260690401,0.15715320125795157,False
PreopChemotherapy,0.24998743282635336,1.2840092802187584,0.4757790960604539,3.4652212451940256,0.3108207867162611,False
PreopALB,-0.005308185830673576,0.9947058776927974,0.9643720334028824,1.0259938580189454,0.36846037780283236,False
