,PreopHGB,AlcoholHistory,PreopConcurrentCRT,Diabetes,PreopChemotherapy,SmokingHistory,PreopALB,CoronaryHeartDisease,PeripheralVascularDisease,BMI,ASA,PreopRadiotherapy
PreopHGB,1.0,0.0878005746656679,-0.06844481920869168,-0.034977068463220136,-0.20623194404635214,0.16398549035116342,0.24469854812140998,-0.023741464627714204,0.003948202579973269,0.22506065934216946,-0.03727201218565669,-0.08604017652102311
AlcoholHistory,0.0878005746656679,1.0,0.05343747202077253,0.08370245362815149,0.1131718165628071,0.6100167511578606,-0.010763069771329589,0.039667719497574444,0.007207491252294776,-0.03346626831613458,0.052134360692397574,0.07372683837250264
PreopConcurrentCRT,-0.06844481920869168,0.05343747202077253,1.0,0.004770364532815144,0.23295367074662576,0.02637721702417885,-0.03495163885645151,0.011315543749006661,0.016623597463417603,-0.06488001770295597,-0.029645637960076653,0.2601572415154933
Diabetes,-0.034977068463220136,0.08370245362815149,0.004770364532815144,1.0,0.022552276093355472,0.015247276070863196,-0.05239963519572996,0.1013208102772134,0.011768892450069615,0.1203295792301818,0.06281906680332358,-0.05595808377701557
PreopChemotherapy,-0.20623194404635214,0.1131718165628071,0.23295367074662576,0.022552276093355472,1.0,0.08324830838599163,-0.10155238895432148,0.07212757606511809,0.004304219695659971,-0.042727035608144996,0.0832467659276183,0.313918432468826
SmokingHistory,0.16398549035116342,0.6100167511578606,0.02637721702417885,0.015247276070863196,0.08324830838599163,1.0,-0.062063771626849625,0.03017033138345382,0.03079170707556653,-0.04442983088580306,0.07086889524823191,0.011945217877540371
PreopALB,0.24469854812140998,-0.010763069771329589,-0.03495163885645151,-0.05239963519572996,-0.10155238895432148,-0.062063771626849625,1.0,-0.029164133681914665,-0.03515163725989685,0.1325261386116786,-0.04941495489828549,-0.030737554834960185
CoronaryHeartDisease,-0.023741464627714204,0.039667719497574444,0.011315543749006661,0.1013208102772134,0.07212757606511809,0.03017033138345382,-0.029164133681914665,1.0,-0.024675824106739585,-0.029484917822376555,-0.0051888230304701155,0.027283270338956778
PeripheralVascularDisease,0.003948202579973269,0.007207491252294776,0.016623597463417603,0.011768892450069615,0.004304219695659971,0.03079170707556653,-0.03515163725989685,-0.024675824106739585,1.0,0.032730858790805124,0.06267089032186954,-0.00828561624137573
BMI,0.22506065934216946,-0.03346626831613458,-0.06488001770295597,0.1203295792301818,-0.042727035608144996,-0.04442983088580306,0.1325261386116786,-0.029484917822376555,0.032730858790805124,1.0,0.03626021500039242,-0.07019373382423438
ASA,-0.03727201218565669,0.052134360692397574,-0.029645637960076653,0.06281906680332358,0.0832467659276183,0.07086889524823191,-0.04941495489828549,-0.0051888230304701155,0.06267089032186954,0.03626021500039242,1.0,0.016187026986504885
PreopRadiotherapy,-0.08604017652102311,0.07372683837250264,0.2601572415154933,-0.05595808377701557,0.313918432468826,0.011945217877540371,-0.030737554834960185,0.027283270338956778,-0.00828561624137573,-0.07019373382423438,0.016187026986504885,1.0
