,Tracheostomy,AlcoholHistory,OperationDurationMin,NeckDissection,PreopConcurrentCRT,Diabetes,PreopHGB,SmokingHistory,IntraopTransfusion,PreopChemotherapy,Age,PreopALB,BMI,PeripheralVascularDisease
Tracheostomy,1.0,0.1185561197917134,0.09994113412878441,0.13608885867422885,0.10344095286724934,-0.0026230810372742616,-0.047580737465852216,0.1137237858935572,0.03689515329035099,0.058675704369561994,0.056158643920776664,-0.054736382620899623,-0.04115136689987285,0.011504799388328334
AlcoholHistory,0.1185561197917134,1.0,0.14193431803678466,0.14820686789908907,0.05777127249541785,0.08863082817991039,0.1136116958810479,0.6219677031870734,-0.017571139485988815,0.08101046578642193,0.10247040039050573,0.007791330523134673,-0.03419059784945962,-0.00867041577026276
OperationDurationMin,0.09994113412878441,0.14193431803678466,1.0,0.33166626241131203,0.04550783330931257,0.01932832182189874,-0.012484654305175511,0.1324367381167001,0.09924511584425678,0.1377485700432637,0.05934936914886594,-0.0853257134555758,-0.10119118850427462,0.005013826405257028
NeckDissection,0.13608885867422885,0.14820686789908907,0.33166626241131203,1.0,0.010577760416090324,0.07218181294476587,-0.06027049319959729,0.1461570937451936,0.03716725885124719,0.14610377785961667,0.09035837007191148,-0.0910088568804742,-0.003986563157536219,0.009432796374724857
PreopConcurrentCRT,0.10344095286724934,0.05777127249541785,0.04550783330931257,0.010577760416090324,1.0,-0.02447869292206743,-0.09312149886084183,0.03907564184025479,0.11351663048645527,0.29394439089008795,-0.029041231613051596,-0.05901298001025115,-0.0742868121332484,0.09280928933208903
Diabetes,-0.0026230810372742616,0.08863082817991039,0.01932832182189874,0.07218181294476587,-0.02447869292206743,1.0,-0.03776744455262535,0.03030104163255464,0.0580631476808257,0.00518661838127752,0.09331369455235707,-0.05104628493577599,0.1221363814649833,-0.0015199424706582422
PreopHGB,-0.047580737465852216,0.1136116958810479,-0.012484654305175511,-0.06027049319959729,-0.09312149886084183,-0.03776744455262535,1.0,0.15049687927586394,-0.12456376027407953,-0.19983314011304198,-0.04894150455482222,0.2614884540893474,0.2046462576228916,-0.003739111580852579
SmokingHistory,0.1137237858935572,0.6219677031870734,0.1324367381167001,0.1461570937451936,0.03907564184025479,0.03030104163255464,0.15049687927586394,1.0,-0.04394073815011373,0.0735228325679102,0.15089415735095144,-0.045757374097633106,-0.050679566412292015,0.006029230406893168
IntraopTransfusion,0.03689515329035099,-0.017571139485988815,0.09924511584425678,0.03716725885124719,0.11351663048645527,0.0580631476808257,-0.12456376027407953,-0.04394073815011373,1.0,0.12029058460963292,-0.04563218321807902,-0.10605623025924499,-0.06401984020460808,0.07025717603436965
PreopChemotherapy,0.058675704369561994,0.08101046578642193,0.1377485700432637,0.14610377785961667,0.29394439089008795,0.00518661838127752,-0.19983314011304198,0.0735228325679102,0.12029058460963292,1.0,-0.010587467361508509,-0.08328934603821986,-0.06912179232986763,0.026571204744700698
Age,0.056158643920776664,0.10247040039050573,0.05934936914886594,0.09035837007191148,-0.029041231613051596,0.09331369455235707,-0.04894150455482222,0.15089415735095144,-0.04563218321807902,-0.010587467361508509,1.0,-0.2371102737358578,-0.014101929051285107,0.05238939562217212
PreopALB,-0.054736382620899623,0.007791330523134673,-0.0853257134555758,-0.0910088568804742,-0.05901298001025115,-0.05104628493577599,0.2614884540893474,-0.045757374097633106,-0.10605623025924499,-0.08328934603821986,-0.2371102737358578,1.0,0.092573664465072,-0.05810850432077488
BMI,-0.04115136689987285,-0.03419059784945962,-0.10119118850427462,-0.003986563157536219,-0.0742868121332484,0.1221363814649833,0.2046462576228916,-0.050679566412292015,-0.06401984020460808,-0.06912179232986763,-0.014101929051285107,0.092573664465072,1.0,0.006055417042350195
PeripheralVascularDisease,0.011504799388328334,-0.00867041577026276,0.005013826405257028,0.009432796374724857,0.09280928933208903,-0.0015199424706582422,-0.003739111580852579,0.006029230406893168,0.07025717603436965,0.026571204744700698,0.05238939562217212,-0.05810850432077488,0.006055417042350195,1.0
