变量	肺部感染	非肺部感染	P-value
	N=43	N=4732	
Sex			0.289
  1	34 (79.1%)	3336 (70.5%)	
  2	9 (20.9%)	1396 (29.5%)	
Age	57.84 ± 8.92	56.61 ± 12.42	0.376
BMI	22.97 ± 3.15	23.93 ± 3.54	0.055
PriorHeadNeckHistory			0.897
  0	29 (67.4%)	3091 (65.3%)	
  1	14 (32.6%)	1641 (34.7%)	
CoronaryHeartDisease			1.000
  0	41 (95.3%)	4501 (95.1%)	
  1	2 (4.7%)	231 (4.9%)	
PeripheralVascularDisease			1.000
  0	42 (97.7%)	4633 (97.9%)	
  1	1 (2.3%)	99 (2.1%)	
Diabetes			0.087
  0	34 (79.1%)	4193 (88.6%)	
  1	9 (20.9%)	539 (11.4%)	
SmokingHistory			0.319
  0	20 (46.5%)	2616 (55.3%)	
  1	23 (53.5%)	2116 (44.7%)	
AlcoholHistory			0.009
  0	18 (41.9%)	2950 (62.3%)	
  1	25 (58.1%)	1782 (37.7%)	
PreopPALB	23.43 ± 10.65	24.11 ± 8.60	0.719
PreopALB	37.06 ± 14.71	40.75 ± 10.98	0.126
PreopHGB	108.72 ± 51.67	128.91 ± 43.80	0.014
ASA			0.068
  Ⅰ	0 (0.0%)	80 (1.7%)	
  Ⅱ	20 (46.5%)	2900 (61.3%)	
  Ⅲ	3 (7.0%)	254 (5.4%)	
  Ⅳ	11 (25.6%)	643 (13.6%)	
OperationDurationMin	191.09 ± 135.76	107.40 ± 97.46	0.000
IntraopTransfusion			0.004
  0	37 (86.0%)	4544 (96.0%)	
  1	6 (14.0%)	188 (4.0%)	
NeckDissection			0.000
  0	10 (23.3%)	2667 (56.4%)	
  1	33 (76.7%)	2065 (43.6%)	
PreopRadiotherapy			0.033
  0	36 (83.7%)	4409 (93.2%)	
  1	7 (16.3%)	323 (6.8%)	
PreopChemotherapy			0.000
  0	32 (74.4%)	4308 (91.0%)	
  1	11 (25.6%)	424 (9.0%)	
PreopConcurrentCRT			0.000
  0	34 (79.1%)	4575 (96.7%)	
  1	7 (16.3%)	125 (2.6%)	
  2	1 (2.3%)	22 (0.5%)	
  3	1 (2.3%)	10 (0.2%)	
Endoscopy			0.620
  0	42 (97.7%)	4487 (94.8%)	
  1	1 (2.3%)	245 (5.2%)	
Tracheostomy			0.456
  0	40 (93.0%)	4172 (88.2%)	
  1	3 (7.0%)	560 (11.8%)	
Differentiation			0.007
  0.0	10 (23.3%)	2376 (50.2%)	
  1.0	10 (23.3%)	632 (13.4%)	
  2.0	14 (32.6%)	1025 (21.7%)	
  3.0	7 (16.3%)	671 (14.2%)	
MultiplePrimary			0.260
  0	36 (83.7%)	4262 (90.1%)	
  1	7 (16.3%)	470 (9.9%)	
LengthOfStay	34.21 ± 24.83	40.98 ± 1003.22	0.655
